Try,PostgreSQL Create Index,MySQL Create Index,MongoDB Create Index,PostgreSQL Drop Index,MySQL Drop Index,MongoDB Drop Index
1,55413832,242216334,1495133125,5289554,163638314,219364451
2,54989457,240812078,1473596525,3531956,769647036,220176322
3,92108857,976038131,1451479463,3685890,201043370,218238013
4,75473240,221129875,1527492818,3778489,141057898,215426442
5,208336633,221407790,1495179576,34187284,307320561,216620127
6,199753471,249887599,1542058666,14243544,171377786,218461701
7,99410340,285194340,1580664930,3800801,156516734,218633514
8,106304127,254346582,1648394575,3919871,161687649,212740795
9,132303218,256053366,1682514563,4920348,143816444,215328324
10,137461297,286281906,1628185090,4025038,150442683,206233004
