Try,PostgreSQL Create Random,MySQL Create Random,MongoDB Create Random
1,2029412968,470765569,1512113571
2,1634197050,316777677,269102273
3,1717931924,284835446,303815035
4,1731612731,264290896,254012467
5,1756442236,365003711,186189099
6,1715404885,360594653,497006462
7,1688850637,304402968,563949335
8,1517406695,239724988,325402130
9,234993304,234751041,247952371
10,193942161,215359478,192982313
11,295302433,269552323,298502625
12,207606070,266042366,164464529
13,931428218,266879857,147095137
14,1099800389,270263606,140705686
15,1218580629,327837054,117717826
16,281431742,265513754,123087601
17,233334202,270409756,121955854
18,706631342,222209680,107913372
19,395080943,244931970,130376489
20,465540356,265081701,113474652
21,181026470,257528707,148977736
22,473467915,289106030,127798292
23,240454095,215367574,112578751
24,224257186,261235831,137954927
25,403929020,259049134,109875995
26,264623456,304288942,120643962
27,421990481,245305626,120408860
28,278272881,293043100,112272046
29,308478750,276879788,123284634
30,237735163,269885942,106526853
31,183155700,237601929,128812879
32,180487416,230140805,126203107
33,181877882,317189078,115400679
34,176244166,242994809,119265109
35,179641809,250196222,107893614
36,178061090,208404446,127525468
37,220732615,283276261,110958150
38,172968499,350584638,119925974
39,162591848,312418866,117999981
40,166201987,348726353,113173963
41,674192011,240178292,131510054
42,1103140194,217188265,126868454
43,1392089551,369845026,113599428
44,1470860211,246666878,116441787
45,979291711,250782144,106659565
46,266538311,221376841,125941361
47,1437474806,213920826,107138928
48,1406109967,220541299,124662021
49,223821244,211351262,111861916
50,305283241,205767397,116711230
51,529582095,258881699,132717486
52,198531238,299767288,116901610
53,179027579,309328400,123203913
54,216820651,264143172,118900013
55,196178423,272961421,108503678
56,174626414,509338409,125437985
57,215506797,281641927,106753554
58,251769574,285531600,126813785
59,377583149,252102474,106801837
60,486068664,251214674,141739830
61,429898582,233245555,130382497
62,303644760,274707390,124658664
63,1022504447,239603067,112126492
64,502553795,243052304,115844410
65,281013250,220143057,108518539
66,313957096,226167506,123784464
67,221685687,225608797,106931557
68,253708941,254508900,124793007
69,186872163,272363284,112253093
70,179679270,219159148,117897003
71,176551109,211876237,129889695
72,168963031,235287357,122526861
73,193810663,223323544,115247226
74,173796783,224062423,113057269
75,184556963,217667577,108707100
76,167703678,207904599,116390542
77,175778377,239679601,105413332
78,189891976,205944062,115729513
79,168706729,201868693,105229065
80,192806632,204925936,119230050
81,147011189,224713514,127408005
82,213182550,217206979,107399876
83,178708433,270588824,107365004
84,160847507,195889224,117578926
85,177916168,229532607,119603600
86,175294778,257508423,115692565
87,190250800,238169460,103443348
88,197156785,205851126,112278042
89,486148146,195096223,102139867
90,211577682,198169964,116269376
91,1386828837,210460604,231831755
92,1665095472,197982775,221247755
93,1400714577,199579339,206274320
94,1412119746,196931620,169593968
95,1444642514,200498607,170557468
96,1497515324,199555326,170012098
97,1407574825,195994414,169636211
98,1404814635,192894907,189962722
99,1383724452,194859754,194939316
100,1384349869,202638206,170725415
