Try,PostgreSQL Create Random,MySQL Create Random,MongoDB Create Random,Redis Create Random
1,359112527,489840993,1508950874,506136138
2,307570878,366769950,286936576,207208258
3,274692001,424514175,288415767,250303960
4,256303336,415504106,348876344,207175871
5,252002462,311699076,306611840,218144921
6,247558772,338566989,276914581,182483233
7,238542550,425903718,277724653,140743765
8,234335239,412836066,204370378,156215664
9,241729875,336996277,228922693,145281068
10,254601359,330038657,201243147,137686575
11,289240664,417543348,341515002,148359996
12,282979078,406609953,266720670,136663974
13,276123823,396820812,192020384,165650304
14,311088658,460609303,179477076,227194090
15,381767172,345910773,275473153,274210346
16,285485434,386071565,235075059,184584405
17,481216075,514632664,169308960,166457717
18,293977852,329017089,171949461,139917407
19,284784007,322435908,186035004,168954662
20,344394029,397242440,172074599,187818188
21,274875889,314301980,179532780,149022131
22,241443677,293967617,176425419,123504285
23,233152434,326001810,176228747,109336575
24,240932685,367140369,163081048,140153679
25,233912029,408220570,190293977,191241781
26,233852597,349300972,178317376,491529346
27,246730792,373978615,171361080,258864254
28,288119480,545474720,178228858,230069820
29,259795837,663572708,175714775,151097142
30,265525450,318627258,187425843,176763556
31,231278874,290071405,220634407,134479917
32,206904190,291876616,172618628,162926408
33,307186959,311074346,222084084,240533165
34,290410237,390266774,275899286,162055067
35,268751476,347011778,177786254,161491538
36,226084416,331404109,230640333,126236383
37,256652982,378939921,200861150,170487509
38,391763735,336998146,183852452,141556799
39,308502029,334165076,172266807,129085764
40,238516754,345588997,204034333,223820183
41,220118328,317874518,238698900,257536227
42,233230688,326173462,175700653,163095802
43,241156502,358918428,194441622,275513342
44,237819585,367945523,211689870,225261760
45,222103569,325055562,258635434,152524702
46,215122526,367606812,216691243,111421022
47,227167963,331787323,164214977,107012544
48,240207942,330117122,176285165,112770536
49,224403281,335868455,217599395,109387586
50,219980942,339142147,174495126,107477127
51,215297618,391139933,265454603,112794430
52,228514740,314844876,247796020,111250104
53,234750669,355745995,313190900,113236112
54,249068145,336110089,277527560,112426389
55,208185968,307622682,243353707,122476694
56,216855682,293063007,247286332,111164151
57,213072797,315172060,255682417,107911354
58,216419570,324027130,250356002,116887945
59,210392620,319423817,209913306,112968830
60,208476115,294380621,213855474,115335816
61,217384794,361882784,249715941,119960888
62,227577464,351491712,230410269,108835087
63,219236136,356621160,242626850,108525088
64,272011326,393170850,227371363,111009323
65,206577616,367103014,205564109,107951133
66,217880030,330748026,282769956,109754500
67,204208023,344503836,293298300,114740773
68,226887769,361528056,318505876,111640926
69,221460234,325261154,379194147,127522011
70,212715965,352222166,402176632,135784209
71,218560106,366715553,259756838,112901176
72,222453109,323276584,215762856,117042187
73,243860744,376033398,202113633,106924608
74,288824465,330623564,171573772,111573552
75,229991400,325904043,174499541,107815139
76,236790398,371900967,228003656,106704101
77,214635215,339606533,221209011,165680889
78,226984965,341969632,211576974,118286438
79,283744850,406073490,173965055,111976429
80,229499833,336489638,187410118,108490755
81,230464997,281887343,200173300,129733533
82,219768214,286985962,155653881,110740970
83,233141673,277019179,164699523,108301300
84,225416200,282961375,159431211,110761025
85,221141083,286898087,160134361,109133264
86,226184719,306926494,161833273,108166066
87,260586777,300480974,159065573,107853671
88,241322149,277438413,173675936,106277050
89,204162732,302125409,164499668,107213765
90,217906443,344932132,169561372,109220045
91,216999219,282858913,318254571,110225126
92,223459499,284501463,292306573,110455131
93,311506299,282769493,429897341,107344604
94,306238719,280284824,341917563,108010668
95,225390211,279782565,289837024,113044045
96,229809681,280616541,369102917,156463518
97,210872938,277814441,295227922,160198243
98,215778442,279311018,372774117,119702058
99,217611566,280786029,434806109,115250218
100,217534985,286937247,348017289,129445667
