Try,PostgreSQL Join,MySQL Join,MongoDB Join,PostgreSQL Join after Indexing,MySQL Join after Indexing,MongoDB Join after Indexing
1,49053982,125511027,22232469659,47695851,91839786,3272252666
2,109270570,211073272,76265229906,76463763,184507872,13779617716
3,123082172,263033524,191150515066,111115518,274836045,30123943274
4,153356917,366920308,359647561210,149273673,371527907,51778301626
5,189156283,483017409,572189784347,185391828,488144809,81522689926
6,240510376,558625998,996400211841,239263644,587435673,160447936767
7,315423485,676432057,1225557298781,274860229,665943583,137020804780
8,317010607,829119124,1443879584101,301638945,771161697,174071406370
9,363875651,859985890,2120869151758,359557044,841459276,337826523566
10,367267389,895837859,2840285823894,382430083,922626828,379781366291
